"id","name","lines__number","lines__route","description","note","coordinateX","coordinateY","next_stop","previous_stop","date_built"
"17","Kvaternikov trg ulaz/izlaz - istok","13","ŽITNJAK - KVATERNIKOV TRG","smjer Trg bana Josipa Jelačića","","15.997355001000074","45.814884999000071","Tržnica Kvatrić","Šubićeva","11.11.2000."
"18","Kvaternikov trg - jug","4","SAVSKI MOST - DUBEC","smjer Dubrava\Dubec","Linija 12 prometuje do okretišta Dubrava, linije 4, 11 i 34 smjer Dubec","15.99699","45.814917999000045","Mašićeva","Petrova","11.11.2000."
"18","Kvaternikov trg - jug","11","ČRNOMEREC - DUBEC","smjer Dubrava\Dubec","Linija 12 prometuje do okretišta Dubrava, linije 4, 11 i 34 smjer Dubec","15.99699","45.814917999000045","Mašićeva","Petrova","11.11.2000."
"18","Kvaternikov trg - jug","12","LJUBLJANICA - DUBRAVA","smjer Dubrava\Dubec","Linija 12 prometuje do okretišta Dubrava, linije 4, 11 i 34 smjer Dubec","15.99699","45.814917999000045","Mašićeva","Petrova","11.11.2000."
"19","Lisinski - jug","3","LJUBLJANICA - HEINZELOVA","smjer Av. Marina Držića","","15.980155001000071","45.800270999000077","Kruge","Miramarska","27.07.1999."
"19","Lisinski - jug","5","PREČKO - PARK MAKSIMIR","smjer Av. Marina Držića","","15.980155001000071","45.800270999000077","Kruge","Miramarska","27.07.1999."
"19","Lisinski - jug","13","ŽITNJAK - KVATERNIKOV TRG","smjer Av. Marina Držića","","15.980155001000071","45.800270999000077","Kruge","Miramarska","27.07.1999."
"20","Lisinski - sjever","3","LJUBLJANICA - HEINZELOVA","smjer Savska cesta","","15.977874","45.800237999000046","Miramarska","Kruge","28.07.1999."
"20","Lisinski - sjever","5","PREČKO - PARK MAKSIMIR","smjer Savska cesta","","15.977874","45.800237999000046","Miramarska","Kruge","28.07.1999."
"20","Lisinski - sjever","13","ŽITNJAK - KVATERNIKOV TRG","smjer Savska cesta","","15.977874","45.800237999000046","Miramarska","Kruge","28.07.1999."
